ID da Aprovacao,Tipo de Solicitacao,Solicitante,Aprovador,Acao Realizada,Justificativa,Data/Hora,Status
"58c1972f...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"634b1a0f...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"59cbe4ce...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"6115b13f...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"616a07b1...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"31a857c8...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"8150a3e1...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"013ee911...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"58c23c81...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"797e53dc...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"5cfe93f0...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"360e20f9...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"9487a117...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"380d1bed...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"ccd8e9cb...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"309468dd...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"a2f542b6...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"b0b7a7c6...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"0e8cf04d...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"e2223010...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"3d0847dc...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"4d096f3b...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"c0b638b1...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"a47ad387...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"5080390d...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"fc660299...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"58b6f743...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"aa89c177...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"b5831e55...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"1fb23ab0...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"f9865f56...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"de4a178b...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"25bb8302...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"a7610546...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"0ca5b1ef...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"bf3b6152...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"7a334fa6...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"498ba64f...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"35b2e1b1...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"8f6245a0...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"dd9e6666...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"d57145d3...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"e29301f8...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"62d4b3e4...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"476872f7...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"b8401c6f...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"f9f1734b...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"64c3c74e...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"8cd00afd...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"3c8ae08b...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"7191ad49...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"7f8ad4a1...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"2bea3caa...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"69e4e75b...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"65e137b5...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"c196e6ce...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"72a167bb...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"42bf6508...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"21a0ea88...","rejected","approver@empresa.com","approver@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"4b490e4d...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"dbc485ce...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"ac4451cb...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"55704b6f...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"4b5e5e93...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"1b751839...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"1a183baf...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:58:24","rejected"
"660e9b4c...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:58:24","approved"
"04196be7...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:57:37","approved"
"bc61052f...","rejected","manager@empresa.com","manager@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:57:37","rejected"
"85c038bb...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:57:37","approved"
"fdf6a5e1...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:57:37","rejected"
"a6414c39...","approved","admin@empresa.com","admin@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:57:37","approved"
"ae1f4e10...","approved","approver@empresa.com","approver@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:57:37","approved"
"a31cf344...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:57:37","approved"
"601bbe78...","rejected","admin@empresa.com","admin@empresa.com","rejected","Rejeitado - não atende aos critérios estabelecidos","03/08/2025, 04:57:37","rejected"
"a6c91063...","approved","manager@empresa.com","manager@empresa.com","approved","Aprovado conforme política da empresa","03/08/2025, 04:57:37","approved"
